rank,team,mean_position,dice,dice_position,cldice,cldice_position,b0_error,b0_error_position,hd95,hd95_position,f1_grp2,f1_grp2_position,anterior_graph_acc,anterior_graph_acc_position,posterior_graph_acc,posterior_graph_acc_position,anterior_topology,anterior_topology_position,posterior_topology,posterior_topology_position
1,Organizers UZH,2.11,0.87,2.0,0.99,1.0,0.04,1.0,3.22,3.0,0.86,1.0,0.87,3.0,0.68,4.0,0.79,1.0,0.58,3.0
2,IMR,2.78,0.87,2.0,0.99,1.0,0.06,3.0,2.88,1.0,0.86,1.0,0.91,1.0,0.63,7.0,0.57,5.0,0.5,4.0
3,NIC-VICOROB,3.0,0.88,1.0,0.99,1.0,0.04,1.0,3.45,4.0,0.75,7.0,0.78,7.0,0.75,2.0,0.66,2.0,0.63,2.0
4,CLAIM,3.0,0.85,5.0,0.99,1.0,0.06,3.0,3.03,2.0,0.83,3.0,0.79,5.0,0.84,1.0,0.56,6.0,0.7,1.0
5,Organizers HITSZ,4.33,0.85,5.0,0.98,7.0,0.1,6.0,3.76,5.0,0.8,4.0,0.89,2.0,0.71,3.0,0.59,3.0,0.5,4.0
6,Organizers DKFZ,5.22,0.86,4.0,0.99,1.0,0.1,6.0,3.97,6.0,0.74,8.0,0.84,4.0,0.65,6.0,0.58,4.0,0.42,8.0
7,ARG,5.56,0.85,5.0,0.99,1.0,0.13,8.0,4.85,7.0,0.77,6.0,0.79,5.0,0.66,5.0,0.52,7.0,0.43,6.0
8,DLaBella29,7.0,0.84,8.0,0.98,7.0,0.07,5.0,5.2,8.0,0.78,5.0,0.68,8.0,0.53,8.0,0.46,8.0,0.43,6.0
9,pamaad,9.33,0.65,10.0,0.98,7.0,0.31,9.0,11.34,10.0,0.57,9.0,0.56,10.0,0.38,10.0,0.3,9.0,0.14,10.0
10,junqiangchen,9.44,0.75,9.0,0.97,10.0,0.34,10.0,9.72,9.0,0.49,10.0,0.58,9.0,0.45,9.0,0.26,10.0,0.17,9.0
