rank,team,mean_position,boundary_iou,boundary_iou_position,iou,iou_position
1,Organizers UZH,1.0,0.77,1.0,0.85,1.0
2,NIC-VICOROB,2.0,0.72,2.0,0.82,2.0
3,ARG,3.0,0.7,3.0,0.8,3.0
4,IMR,4.0,0.67,4.0,0.77,4.0
5,pamaad,4.5,0.66,5.0,0.77,4.0
6,CLAIM,5.0,0.65,6.0,0.77,4.0
7,junqiangchen,7.0,0.01,7.0,0.01,7.0
